cluster,mean_dist,max_dist
1,1271.22,3333.22
2,1204.85,3093.8
3,1253.71,3033.4
4,1260.43,3136.19
5,1178.03,2803.87
6,1271.32,3299.43
7,1316.54,3058.17
8,1094.67,2550.37
9,1420.64,3625.07
10,1285.87,3272.64
11,1211.15,2971.43
12,1303.73,3262.47
13,1432.24,3740.09
14,1440.99,3710.44
15,1251.18,3140.77
16,1382.74,3445.32
