4,-9.19605107321674
16,-9.196208525442904
4,-9.196680207065572
4,-9.195580535906933
16,-9.198553692481163
16,-9.198420348940388
4,-9.190529573191249
16,-9.197603719294591
16,-9.199838280139435
16,-9.201152382801833
4,-9.190371073400136
4,-9.198761819394363
4,-9.19927289133603
4,-9.190235722281269
16,-9.196532788345484
16,-9.1986116556753
4,-9.19565129116507
16,-9.200496311020864
16,-9.195804707680914
16,-9.19615966873658
4,-9.197270880559696
4,-9.18981344959208
16,-9.196498964758792
28,-9.19669350622694
4,-9.193214838923508
16,-9.198206378927868
4,-9.191169050954105
4,-9.194262357583725
4,-9.195622896653088
16,-9.19747681791058
4,-9.198718524794046
4,-9.194001360717422
5,-9.200112316863612
16,-9.197490152827301
4,-9.191405866773998
16,-9.19783590794464
4,-9.198272919282108
16,-9.197524289891813
4,-9.19640310513741
4,-9.191610142487633
