cluster,mean_dist,max_dist
1,966.07,2366.36
2,1015.32,2681.17
3,1177.34,2931.25
4,1116.19,2750.32
5,1119.81,2539.68
6,1135.67,2745.91
7,1115.16,2776.68
8,1167.3,3078.01
9,1115.35,3017.01
10,1104.9,2927.36
11,1141.44,2943.04
12,1122.59,2770.66
13,1054.88,2565.46
14,1185.3,2964.53
15,1184.33,2697.88
16,1015.69,2460.53
17,1198.65,2685.03
18,1196.17,2832.21
19,1066.05,2762.13
20,1081.37,2855.7
21,1137.79,2896.64
