cluster,mean_dist,max_dist
1,1318.2,3027.6
2,1289.04,3090.04
3,1224.14,3212.3
4,1272.36,2893.42
5,1177.03,2844.77
6,1270.49,2974.21
7,1330.81,3148.4
8,1182.97,3069.33
9,1289.81,3162.6
10,1244.34,3096.02
11,1294.97,3321.18
12,1291.83,3004.9
13,1229.3,2954.75
14,1271.44,3174.03
15,1293.31,3149.0
16,1351.58,3246.44
